  Research Vessel Schedules from https://www.researchvessels.org

<http://www.researchvessels.org/ship_info_display.asp?shipID=122>
This schedule for this ship was last updated on: 1/15/2002 2:41:34 PM

Field Key
Ship Name 	Departure Date 	Departure Port 	General Area 	Discipline
Endeavor    	4/7/1997    	Narra   	N W Atlantic   	multi   	NA6  
Endeavor    	4/24/1997    	Narra   	N W Atlantic   	unk   	NA6  
Endeavor    	4/25/1997    	Narra   	Coastal   	  	NA6  
Endeavor    	5/18/1997    	Narra   	N W Atlantic   	phys oc   	NA6  
Endeavor    	5/18/1997    	Narra   	Wilkinson Basin   	  	NA6  
Endeavor    	5/23/1997    	Narra   	N W Atlantic   	multi   	NA6  
Endeavor    	5/23/1997    	Narra   	Georges Bank   	  	NA6  
Endeavor    	6/9/1997    	Narra   	N W Atlantic   	multi   	NA6  
Endeavor    	6/9/1997    	Narra   	Georges Bank   	  	NA6  
Endeavor    	6/21/1997    	Narra   	NJ Coast   	  	NA6  
Endeavor    	6/26/1997    	Narra   	N W Atlantic   	multi   	NA6  
Endeavor    	6/26/1997    	Narra   	Georges Bank   	  	NA6  
Endeavor    	7/10/1997    	Narra   	Shelf   	  	NA6  
Endeavor    	7/10/1997    	Narra   	N W Atlantic   	unk   	NA6  
Endeavor    	7/18/1997    	Narra   	Coastal   	  	NA6  
Endeavor    	10/1/1997    	Narra   	N W Atlantic   	phys oc   	NA6  
Endeavor    	10/1/1997    	Narra   	Wilkinson Basin   	  	NA6  
Endeavor    	10/8/1997    	WHOI   	Georges Bank   	  	NA6  
Endeavor    	10/8/1997    	Narra   	N W Atlantic   	multi   	NA6  
Endeavor    	10/20/1997    	Narra   	N W Atlantic   	phys oc   	NA6  
Endeavor    	10/21/1997    	WHOI   	Georges Bank   	  	NA6  
Endeavor    	10/29/1997    	WHOI   	Continental Slope   	  	NA6  
Endeavor    	11/4/1997    	WHOI   	Gulf of Maine   	  	NA6  
Endeavor    	12/1/1997    	Narra   	Georges Bank   	  	NA6  
Endeavor    	12/1/1997    	Narra   	N W Atlantic   	unk   	NA6  
Endeavor    	7/16/1998    	Narra   	  	  	 
Endeavor    	7/16/1998    	Narragansett   	N E Pacific   	transit   	 
Endeavor    	7/28/1998    	Panama   	S E Pacific   	bio   	 
Endeavor    	7/30/1998    	Panama   	Eastern Trop. Pacific   	  	 
Endeavor    	8/31/1998    	Hilo   	S E Pacific   	bio   	 
Endeavor    	9/1/1998    	Hilo   	Eastern Trop. Pacific   	  	 
Endeavor    	9/30/1998    	Manzanillo   	S E Pacific   	bio   	 
Endeavor    	9/30/1998    	Manzanillo   	Eastern Trop. Pacific   	  	 
Endeavor    	10/28/1998    	Puntarenas   	Eastern Trop. Pacific   	  	 
Endeavor    	10/28/1998    	Puntarenas   	S E Pacific   	bio   	 
Endeavor    	11/21/1998    	Callao   	Eastern Trop. Pacific   	  	 
Endeavor    	12/11/1998    	Panama   	  	  	 
Endeavor    	2/21/1999    	Narragansett   	N W Atlantic   	GLOBEC
Endeavor    	3/10/1999    	Narragansett   	N W Atlantic   	GLOBEC BS  
Endeavor    	3/28/1999    	Narragansett   	N W Atlantic   	GLOBEC   	NA6  
Endeavor    	4/17/1999    	Narragansett   	N W Atlantic   	GLOBEC   	NA6  
Endeavor    	5/5/1999    	Narragansett   	N W Atlantic   	GLOBEC   	NA6  
Endeavor    	5/14/1999    	Whoi   	N W Atlantic   	GLOBEC   	NA6  
Endeavor    	6/13/1999    	Narragansett   	N W Atlantic   	GLOBEC   	NA6  
Endeavor    	7/8/1999    	Narragansett   	N W Atlantic   	Chemistry  
Endeavor    	8/2/1999    	Narragansett   	N W Atlantic   	Chemistry  
Endeavor    	8/25/1999    	Narragansett   	N E Atlantic   	WOCE  
Endeavor    	9/23/1999    	Azores   	  	Transit   	 
Endeavor    	10/10/1999    	Whoi   	N W Atlantic   	GLOBEC   	NA6  
Endeavor    	12/1/1999    	Whoi   	N W Atlantic   	GLOBEC   	NA6  
Endeavor    	2/7/2000    	Narra   	N W Atlantic   	phys oc   	NA6  
Endeavor    	3/2/2000    	Narra   	N W Atlantic   	unk   	NA6  
Endeavor    	3/6/2000    	Narra   	N W Atlantic   	phys oc   	NA6  
Endeavor    	3/13/2000    	Narra   	N W Atlantic   	chem   	NA6  
Endeavor    	4/6/2000    	Narra   	N W Atlantic   	phys oc   	NA6  
Endeavor    	4/14/2000    	Narra   	N W Atlantic   	phys oc   	NA6  
Endeavor    	5/15/2000    	Narra   	N W Atlantic   	phys oc   	NA6  
Endeavor    	5/30/2000    	Narra   	N W Atlantic   	unk   	NA6  
Endeavor    	6/12/2000    	Narra   	N W Atlantic   	chem   	NA6  
Endeavor    	7/7/2000    	Narra   	N W Atlantic   	unk   	NA6  
Endeavor    	7/23/2000    	Narra   	N W Atlantic   	phys oc   	NA6  
Endeavor    	8/17/2000    	Narra   	N W Atlantic   	bio   	NA6  
Endeavor    	9/12/2000    	Narra   	N W Atlantic   	phys oc   	NA6  
Endeavor    	9/26/2000    	WHOI   	N W Atlantic   	phys oc   	NA6  
Endeavor    	10/7/2000    	WHOI   	N W Atlantic   	phys oc   	NA6  
Endeavor    	10/17/2000    	WHOI   	N W Atlantic   	phys oc   	NA6  
Endeavor    	11/1/2000    	WHOI   	N W Atlantic   	transit   	NA6  
Endeavor    	11/9/2000    	Narra   	N W Atlantic   	unk   	NA6  
Endeavor    	11/12/2000    	Narra   	N W Atlantic   	unk   	NA6  
Endeavor    	11/17/2000    	Narra   	N W Atlantic   	unk   	NA6  
Endeavor    	11/19/2000    	Narra   	N W Atlantic   	unk   	NA6  
Endeavor    	11/24/2000    	Narra   	N W Atlantic   	unk   	NA6  
Endeavor    	11/27/2000    	Narra   	N W Atlantic   	unk   	NA6  
Endeavor    	12/1/2000    	Narra   	N W Atlantic   	phys oc   	NA6  
Endeavor    	12/7/2000    	WHOI   	N W Atlantic   	phys oc   	NA6  
Endeavor    	1/1/2001    	Tampa   	  	repairs   	 
Endeavor    	2/17/2001    	Tampa   	  	transit   	NA6  
Endeavor    	2/28/2001    	Narra   	  	phys oc   	NA6  
Endeavor    	3/12/2001    	WHOI   	  	transit   	NA6  
Endeavor    	3/16/2001    	Portland   	N W Atlantic   	bio   	NA6  
Endeavor    	3/23/2001    	Portland   	  	transit   	NA6  
Endeavor    	3/28/2001    	Narra   	  	bio   	NA6  
Endeavor    	4/11/2001    	Narra   	N W Atlantic   	unk   	NA6  
Endeavor    	4/12/2001    	WHOI   	unk   	unk   	 
Endeavor    	4/18/2001    	WHOI   	  	phys oc   	NA6  
Endeavor    	4/27/2001    	WHOI   	  	unk   	NA6  
Endeavor    	5/10/2001    	WHOI   	  	unk   	NA6  
Endeavor    	5/24/2001    	WHOI   	  	unk   	NA6  
Endeavor    	5/31/2001    	Narra   	  	bio   	NA6  
Endeavor    	6/19/2001    	Narra   	N W Atlantic   	unk   	NA6  
Endeavor    	7/9/2001    	Narra   	N W Atlantic   	unk   	NA6  
Endeavor    	7/22/2001    	Narra   	N W Atlantic   	unk   	NA6  
Endeavor    	8/12/2001    	Narra   	  	unk   	NA6  
Endeavor    	9/16/2001    	Narra   	  	bio   	NA6  
Endeavor    	10/2/2001    	Narra   	  	bio   	NA6  
Endeavor    	10/19/2001    	Narra   	  	transit   	NA6  
Endeavor    	10/21/2001    	Portland   	N W Atlantic   	unk   	NA6  
Endeavor    	11/10/2001    	Portland   	  	phys oc   	NA6  
Endeavor    	11/20/2001    	Portland   	  	transit   	NA6  
Endeavor    	12/1/2001    	Narra   	N W Atlantic   	unk   	NA6  
Endeavor    	12/12/2001    	Narra   	N W Atlantic   	transit   	NA6  
Endeavor    	12/14/2001    	Portland   	N W Atlantic   	geo   	NA6  
Endeavor    	12/20/2001    	Portland   	N W Atlantic   	transit   	NA6  
Endeavor    	1/31/2002    	Narra   	  	phys oc   	NA6,NA7,NA  
Endeavor    	2/28/2002    	Bridgetown   	  	chem   	NA9,NA10,S  
Endeavor    	3/24/2002    	Rio de Janiero   	  	unk   	NA9,NA10,S  
Endeavor    	4/10/2002    	Bridgetown   	  	phys oc   	NA6,NA10  
Endeavor    	5/13/2002    	Narra   	  	unk   	NA6  
Endeavor    	6/8/2002    	Narra   	N W Atlantic   	unk   	NA6  
Endeavor    	6/23/2002    	Narra   	  	unk   	NA6  
Endeavor    	7/20/2002    	Narra   	N W Atlantic   	unk   	NA6  
Endeavor    	8/7/2002    	Narra   	N W Atlantic   	unk   	NA6  
Endeavor    	8/23/2002    	Narra   	N W Atlantic   	bio   	NA6  
Endeavor    	9/17/2002    	Narra   	  	unk   	NA6  
Endeavor    	1/21/2003    	Narra   	  	transit   	NA6  
Endeavor    	1/25/2003    	Portland   	  	geo   	NA6  
Endeavor    	1/29/2003    	Portland   	  	geo   	NA6  
Endeavor    	2/6/2003    	Portland   	  	geo   	NA6  
Endeavor    	2/15/2003    	Portland   	  	transit   	NA6  
Endeavor    	4/12/2003    	Narra   	  	unk   	NA6  
Endeavor    	4/24/2003    	Narra   	  	transit   	NA6  
Endeavor    	4/28/2003    	WHOI   	  	unk   	NA6  
Endeavor    	5/19/2003    	WHOI   	  	unk   	NA6  
Endeavor    	5/28/2003    	Narra   	  	unk   	NA6  
Endeavor    	6/8/2003    	Narra   	  	transit   	 
Endeavor    	6/12/2003    	Portland   	  	unk   	NA6  
Endeavor    	6/23/2003    	Portland   	  	transit   	NA6  
Endeavor    	7/1/2003    	Narra   	  	unk   	NA6  
